"","city","df_n","id","prov","intercept","slope","CI_lower","CI_upper","variance","r.squared"
"29","LANGARA",38,"11","BC",10.0564394353867,-0.0491592807382295,-0.156473729697293,0.0581551682208345,0.00403424952995841,0.880025901620855
"30","MCINNES ISLAND",36,"14","BC",-6.45399181166966,-0.0404278247972701,-0.151147620456801,0.0702919708622607,0.00430083207822259,0.880025901620855
"31","MERRITT",37,"29","BC",-6.35697395292182,-0.0445704509281607,-0.152050382304493,0.0629094804481716,0.00405281421806088,0.880025901620855
"32","OLIVER",38,"30","BC",-9.28647554437025,-0.041871831345517,-0.149105314014454,0.0653616513234199,0.0040342495299584,0.880025901620855
"33","PENTICTON",38,"31","BC",21.3936316883687,-0.0571470255680797,-0.164380508237017,0.0500864571008573,0.00403424952995841,0.880025901620855
"34","PORT HARDY",38,"5","BC",25.3909289856664,-0.0570047780574113,-0.166070477768135,0.0520609216533129,0.00403424952995843,0.880025901620855
"35","PRINCE GEORGE",37,"23","BC",52.0594132133672,-0.0758488143239996,-0.184826957900438,0.0331293292524383,0.00409357178155948,0.880025901620855
"36","PRINCE RUPERT",35,"15","BC",-56.9416738884933,-0.0167273802681032,-0.125501269201066,0.0920465086648597,0.00413108041799098,0.880025901620855
"37","PRINCETON",38,"32","BC",10.0844731371051,-0.0538096801254712,-0.161501814316449,0.0538824540655066,0.00403424952995841,0.880025901620855
"38","QUATSINO",37,"9","BC",-148.341536273115,0.0303698435277367,-0.0789872806001481,0.139726967655622,0.00419561951115676,0.880025901620855
"39","QUESNEL",38,"24","BC",-14.446930736404,-0.0420140788561857,-0.14932852781525,0.0653003701028784,0.00403424952995842,0.880025901620855
"40","QUINSAM RIVER",38,"6","BC",0.273126162600178,-0.0452857716015626,-0.1525192542705,0.0619477110673745,0.00403424952995842,0.880025901620855
"41","SALMON ARM",37,"44","BC",-9.34523475656922,-0.0432782243331148,-0.150629311225157,0.064072862558927,0.00404310320018446,0.880025901620855
"42","SANDSPIT",36,"12","BC",-9.42386873477703,-0.0397072258975945,-0.148330833189651,0.0689163813944617,0.00413952373945906,0.880025901620855
"43","SHAWNIGAN LAKE",38,"1","BC",-12.206204179924,-0.0388518072728435,-0.146085289941778,0.0683816753960915,0.00403424952995825,0.880025901620855
"44","SMITHERS",38,"18","BC",-4.10538352117263,-0.04737571579677,-0.154690164755834,0.0599387331622941,0.00403424952995842,0.880025901620855
"45","STEWART",37,"16","BC",-12.3660028449499,-0.0412043622569954,-0.150731616910688,0.0683228923966975,0.00419561951115676,0.880025901620855
"46","TATLAYOKO LAKE",37,"20","BC",31.4559605351884,-0.0654035445815991,-0.1744707151617,0.0436636259985017,0.00403435834316219,0.880025901620855
"47","TERRACE",38,"17","BC",-20.4895502790234,-0.0365320786373435,-0.144224212828321,0.0711600555536345,0.00403424952995842,0.880025901620855
"48","VANCOUVER",38,"27","BC",-20.3458365247835,-0.034081044607362,-0.141314527276299,0.0731524380615751,0.00403424952995842,0.880025901620855
"49","VAVENBY",36,"45","BC",26.7144715273081,-0.061855408895313,-0.171648663080509,0.047937845289883,0.00422915156681133,0.880025901620855
"50","VERNON",38,"33","BC",64.6536820221037,-0.0796768428347393,-0.186910325503676,0.0275566398341979,0.00403424952995842,0.880025901620855
"51","VICTORIA",38,"2","BC",-0.105317868475109,-0.0442681547944723,-0.151856756155538,0.0633204465665932,0.00403424952995842,0.880025901620855
"52","WARFIELD",37,"39","BC",-39.0437990021378,-0.0271751381497431,-0.135867708809954,0.0815174325104674,0.00414478164109998,0.880025901620855
"53","WILLIAMS LAKE",38,"25","BC",19.9806105700846,-0.0594448699711873,-0.166678352640124,0.0477886126977499,0.00403424952995842,0.880025901620855
"54","WISTARIA",34,"19","BC",191.389650738311,-0.147061758565917,-0.262734133841179,-0.0313893832906558,0.00469419625344248,0.880025901620855
