Municipality,Municipal status ,Geographic area 
"<a title=""Front of Yonge, Township of"" href=""http://www.frontofyonge.com/"">Front of Yonge, Township of</a>",Lower Tier,Leeds and Grenville
"<a title=""Frontenac, County of"" href=""http://frontenacislands.ca/"">Frontenac, County of</a>",Upper Tier,Frontenac
"<a title=""Frontenac Islands, Township of"" href=""http://municipality.frontenacislands.on.ca/"">Frontenac Islands, Township of</a>",Lower Tier,Frontenac
"<a title=""Gananoque, Town of"" href=""http://www.gananoque.ca/"">Gananoque, Town of</a>",Single Tier,Leeds and Grenville
"<a title=""Gauthier, Township of""></a>Gauthier, Township of",Single Tier,Timiskaming
"<a title=""Georgian Bay, Township of"" href=""http://www.gbtownship.ca/"">Georgian Bay, Township of</a>",Lower Tier,Muskoka
"<a title=""Georgian Bluffs, Township of"" href=""http://www.georgianbluffs.on.ca/"">Georgian Bluffs, Township of</a>",Lower Tier,Grey
"<a title=""Georgina, Town of"" href=""http://www.georgina.ca/"">Georgina, Town of</a>",Lower Tier,York
"<a title=""Gillies, Township of"" href=""http://www.gilliestownship.com/"">Gillies, Township of</a>",Single Tier,Thunder Bay
"<a title=""Goderich, Town of"" href=""http://www.goderich.ca/"">Goderich, Town of</a>",Lower Tier,Huron
"<a title=""Gordon/Barrie Island, Municipality of"" href=""http://gordontownship.manitoulin-link.com/index.html"">Gordon/Barrie Island, Municipality of</a>",Single Tier,Manitoulin
"<a title=""Gore Bay, Town of"" href=""http://www.gorebay.ca/"">Gore Bay, Town of</a>",Single Tier,Manitoulin
"<a title=""Grand Valley, Town of"" href=""http://www.eastluthergrandvalley.ca/"">Grand Valley, Town of</a>",Lower Tier,Dufferin
"<a title=""Gravenhurst, Town of"" href=""http://www.gravenhurst.ca/"">Gravenhurst, Town of</a>",Lower Tier,Muskoka
"<a title=""Greater Madawaska, Township of"" href=""http://www.greatermadawaska.com/"">Greater Madawaska, Township of</a>",Lower Tier,Renfrew
"<a title=""Greater Napanee, Town of"" href=""http://www.town.greaternapanee.on.ca/"">Greater Napanee, Town of</a>",Lower Tier,Lennox and Addington
"<a title=""Greater Sudbury, City of"" href=""http://www.city.greatersudbury.on.ca/"">Greater Sudbury, City of</a>",Single Tier,Sudbury
"<a title=""Greenstone, Municipality of"" href=""http://www.greenstone.ca/"">Greenstone, Municipality of</a>",Single Tier,Thunder Bay
"<a title=""Grey, County of"" href=""http://www.grey.ca/"">Grey, County of</a>",Upper Tier,Grey
"<a title=""Grey Highlands, Municipality of"" href=""http://www.greyhighlands.ca/"">Grey Highlands, Municipality of</a>",Lower Tier,Grey
"<a title=""Grimsby, Town of"" href=""http://www.town.grimsby.on.ca/"">Grimsby, Town of</a>",Lower Tier,Niagara
"<a title=""Guelph, City of"" href=""http://www.guelph.ca/"">Guelph, City of</a>",Single Tier,Wellington
"<a title=""Guelph/Eramosa, Township of"" href=""http://www.get.on.ca/"">Guelph/Eramosa, Township of</a>",Lower Tier,Wellington
"<a title=""Haldimand County"" href=""http://www.haldimandcounty.on.ca/"">Haldimand County</a>",Single Tier,Haldimand
"<a title=""Haliburton, County of"" href=""http://haliburtoncounty.ca/"">Haliburton, County of</a>",Upper Tier,Haliburton
"<a title=""Halton, Regional Municipality of"" href=""http://www.halton.ca/"">Halton, Regional Municipality of</a>",Upper Tier,Halton
"<a title=""Halton Hills, Town of"" href=""http://www.haltonhills.ca/"">Halton Hills, Town of</a>",Lower Tier,Halton
"<a title=""Hamilton, City of"" href=""http://www.hamilton.ca/"">Hamilton, City of</a>",Single Tier,Hamilton
"<a title=""Hamilton, Township of"" href=""http://www.hamiltontownship.ca/"">Hamilton, Township of</a>",Lower Tier,Northumberland
"<a title=""Hanover, Town of"" href=""http://www.hanover.ca/"">Hanover, Town of</a>",Lower Tier,Grey
"<a title=""Harley, Township of"" href=""http://www.harley.ca/"">Harley, Township of</a>",Single Tier,Timiskaming
"<a title=""Harris, Township of""></a>Harris, Township of",Single Tier,Timiskaming
"<a title=""Hastings, County of"" href=""http://www.hastingscounty.com/"">Hastings, County of</a>",Upper Tier,Hastings
"<a title=""Hastings Highlands, Municipality of"" href=""http://www.hastingshighlands.ca/"">Hastings Highlands, Municipality of</a>",Lower Tier,Hastings
"<a title=""Havelock-Belmont-Methuen, Township of"" href=""http://www.hbmtwp.ca/"">Havelock-Belmont-Methuen, Township of</a>",Lower Tier,Peterborough
"<a title=""Hawkesbury, Town of"" href=""http://www.hawkesbury.ca/en/"">Hawkesbury, Town of</a>",Lower Tier,Prescott and Russell
"<a title=""Head, Clara and Maria, Township of"" href=""http://townshipsofheadclaramaria.ca/"">Head, Clara and Maria, Township of</a>",Lower Tier,Renfrew
"<a title=""Hearst, Town of"" href=""http://www.hearst.ca/"">Hearst, Town of</a>",Single Tier,Cochrane
"<a title=""Highlands East, Municipality of"" href=""http://www.highlandseast.ca/"">Highlands East, Municipality of</a>",Lower Tier,Haliburton
"<a title=""Hilliard, Township of""></a>Hilliard, Township of",Single Tier,Timiskaming
"<a title=""Hilton, Township of"" href=""http://www.hiltontownship.ca/"">Hilton, Township of</a>",Single Tier,Algoma
"<a title=""Hilton Beach, Village of"" href=""http://www.hiltonbeach.com/"">Hilton Beach, Village of</a>",Single Tier,Algoma
"<a title=""Hornepayne, Township of"" href=""http://www.townshipofhornepayne.ca/"">Hornepayne, Township of</a>",Single Tier,Algoma
"<a title=""Horton, Township of"" href=""http://www.hortontownship.ca/"">Horton, Township of</a>",Lower Tier,Renfrew
"<a title=""Howick, Township of"" href=""http://www.town.howick.on.ca/"">Howick, Township of</a>",Lower Tier,Huron
"<a title=""Hudson, Township of"" href=""http://www.harley.ca/hudson/"">Hudson, Township of</a>",Single Tier,Timiskaming
"<a title=""Huntsville, Town of"" href=""http://www.town.huntsville.on.ca/"">Huntsville, Town of</a>",Lower Tier,Muskoka
"<a title=""Huron, County of"" href=""http://www.huroncounty.ca/"">Huron, County of</a>",Upper Tier,Huron
"<a title=""Huron East, Municipality of"" href=""http://www.huroneast.com/"">Huron East, Municipality of</a>",Lower Tier,Huron
"<a title=""Huron Shores, Municipality of"" href=""http://www.huronshores.ca/"">Huron Shores, Municipality of</a>",Single Tier,Algoma
"<a title=""Huron-Kinloss, Township of"" href=""http://www.huronkinloss.com/"">Huron-Kinloss, Township of</a>",Lower Tier,Bruce
"<a title=""Ignace, Township of"" href=""http://town.ignace.on.ca/"">Ignace, Township of</a>",Single Tier,Kenora
"<a title=""Ingersoll, Town of"" href=""http://www.ingersoll.ca/"">Ingersoll, Town of</a>",Lower Tier,Oxford
"<a title=""Innisfil, Town of"" href=""http://www.town.innisfil.on.ca/"">Innisfil, Town of</a>",Lower Tier,Simcoe
"<a title=""Iroquois Falls, Town of"" href=""http://www.iroquoisfalls.com/main.html"">Iroquois Falls, Town of</a>",Single Tier,Cochrane
"<a title=""James, Township of"" href=""http://www.elklake.ca/"">James, Township of</a>",Single Tier,Timiskaming
"<a title=""Jocelyn, Township of"" href=""http://www.stjosephisland.net/jocelyntownship/"">Jocelyn, Township of</a>",Single Tier,Algoma
"<a title=""Johnson, Township of"" href=""http://www.johnsontwp.ca/"">Johnson, Township of</a>",Single Tier,Algoma
"<a title=""Joly, Township of"" href=""http://www.townshipofjoly.com/"">Joly, Township of</a>",Single Tier,Parry Sound
"<a title=""Kapuskasing, Town of"" href=""http://www.kapuskasing.ca/"">Kapuskasing, Town of</a>",Single Tier,Cochrane
"<a title=""Kawartha Lakes, City of"" href=""http://www.city.kawarthalakes.on.ca/"">Kawartha Lakes, City of</a>",Single Tier,Kawartha Lakes
"<a title=""Kearney, Town of"" href=""http://www.townofkearney.com/"">Kearney, Town of</a>",Single Tier,Parry Sound
"<a title=""Kenora, City of"" href=""http://www.kenora.ca/"">Kenora, City of</a>",Single Tier,Kenora
"<a title=""Kerns, Township of"" href=""http://www.harley.ca/kerns/"">Kerns, Township of</a>",Single Tier,Timiskaming
"<a title=""Killaloe, Hagarty and Richards, Township of"" href=""http://www.killaloe-hagarty-richards.ca/"">Killaloe, Hagarty and Richards, Township of</a>",Lower Tier,Renfrew
"<a title=""Killarney, Municipality of"" href=""http://www.municipality.killarney.on.ca/"">Killarney, Municipality of</a>",Single Tier,Sudbury
"<a title=""Kincardine, Municipality of"" href=""http://www.kincardine.net/"">Kincardine, Municipality of</a>",Lower Tier,Bruce
"<a title=""King, Township of"" href=""http://www.king.ca/"">King, Township of</a>",Lower Tier,York
"<a title=""Kingston, City of"" href=""http://www.cityofkingston.ca/"">Kingston, City of</a>",Single Tier,Frontenac
"<a title=""Kingsville, Town of"" href=""http://www.town.kingsville.on.ca/"">Kingsville, Town of</a>",Lower Tier,Essex
"<a title=""Kirkland Lake, Town of"" href=""http://www.discoverkl.ca/"">Kirkland Lake, Town of</a>",Single Tier,Timiskaming
"<a title=""Kitchener, City of"" href=""http://www.kitchener.ca/"">Kitchener, City of</a>",Lower Tier,Waterloo
"<a title=""La Vallee, Township of"" href=""http://www.lavallee.ca/"">La Vallee, Township of</a>",Single Tier,Rainy River
"<a title=""LaSalle, Town of"" href=""http://www.town.lasalle.on.ca/"">LaSalle, Town of</a>",Lower Tier,Essex
"<a title=""Laird, Township of"" href=""http://www.lairdtownship.ca/"">Laird, Township of</a>",Single Tier,Algoma
"<a title=""Lake of Bays, Township of"" href=""http://www.lakeofbays.on.ca/"">Lake of Bays, Township of</a>",Lower Tier,Muskoka
"<a title=""Lake of the Woods, Township of"" href=""http://www.lakeofthewoods.ca/"">Lake of the Woods, Township of</a>",Single Tier,Rainy River
"<a title=""Lakeshore, Town of"" href=""http://www.townoflakeshore.on.ca/"">Lakeshore, Town of</a>",Lower Tier,Essex
