"Year" "Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sep" "Oct" "Nov" "Dec" "Annual" "Winter" "Spring" "Summer" "Autumn" "NA."
"1925" "28.4" "48.1" "7.3" "0.1" "10.8" "60.2" "15.3" "40.2" "NA" "NA" "31.1" "14.3" "NA" "85.1" "18.3" "115.7" "NA" NA
"1926" "3.0" "5.9" "NA" "19.1" "40.1" "106.3" "46.7" "NA" "32.0" "28.6" "13.0" "18.2" "NA" "23.2" "NA" "NA" "73.5" NA
"1927" "10.7" "17.2" "15.8" "18.5" "20.8" "113.6" "58.8" "3.6" "47.6" "NA" "14.2" "11.8" "NA" "46.1" "55.0" "176.1" "NA" NA
"1928" "NA" "NA" "27.2" "NA" "20.6" "64.5" "12.4" "23.4" "12.2" "28.8" "NA" "22.0" "NA" "NA" "NA" "100.3" "NA" NA
"1929" "9.4" "20.6" "12.0" "NA" "77.7" "36.7" "73.6" "10.3" "108.6" "NA" "NA" "23.0" "NA" "52.0" "NA" "120.5" "NA" NA
"1930" "34.7" "17.1" "8.5" "14.7" "22.9" "61.2" "5.7" "6.1" "49.7" "11.9" "16.9" "NA" "NA" "74.7" "46.1" "72.9" "78.4" NA
"1931" "26.4" "NA" "35.2" "NA" "46.9" "96.9" "10.4" "26.3" "33.8" "1.7" "25.6" "11.2" "NA" "NA" "NA" "133.6" "61.2" NA
"1932" "51.6" "59.6" "25.5" "65.8" "32.3" "28.7" "67.8" "23.2" "31.9" "97.2" "45.4" "11.6" "540.7" "122.5" "123.6" "119.8" "174.5" NA
"1933" "59.3" "64.7" "22.4" "14.1" "34.9" "96.9" "60.5" "9.0" "91.1" "67.3" "39.7" "91.4" "651.3" "135.6" "71.5" "166.4" "198.1" NA
"1934" "35.5" "NA" "NA" "16.2" "19.3" "79.0" "75.4" "37.4" "49.1" "22.2" "49.6" "21.0" "NA" "NA" "NA" "191.8" "121.0" NA
"1935" "70.4" "5.8" "66.5" "8.6" "36.4" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "97.2" "111.4" "NA" "NA" NA
"1936" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" NA
"1937" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" NA
"1938" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" NA
"1939" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" NA
"1940" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" NA
"1941" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" NA
"1942" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" NA
"1943" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" NA
"1944" "4.8" "25.3" "17.5" "25.5" "27.1" "37.6" "31.4" "58.7" "21.7" "11.3" "28.4" "7.4" "296.6" "NA" "70.0" "127.7" "61.5" NA
"1945" "15.1" "15.3" "5.6" "22.4" "29.8" "73.0" "25.9" "NA" "NA" "NA" "NA" "NA" "NA" "37.8" "57.8" "NA" "NA" NA
"1946" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" NA
"1947" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" NA
"1948" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" NA
"1949" "18.5" "32.5" "18.1" "19.1" "39.6" "38.5" "78.2" "86.9" "11.7" "48.3" "39.3" "43.0" "473.7" "NA" "76.8" "203.6" "99.4" NA
"1950" "12.7" "44.6" "4.9" "22.1" "19.4" "6.8" "57.5" "NA" "11.6" "NA" "40.9" "10.6" "NA" "100.3" "46.4" "NA" "NA" NA
