" Year" "     Jan" "     Feb" "     Mar" "     Apr" "     May" "     Jun" "     Jul" "     Aug" "     Sep" "     Oct" "     Nov" "     Dec" "  Annual" "  Winter" "  Spring" "  Summer" "  Autumn"
"1913" "     4.4" "     6.7" "     8.9" "    14.5" "    18.4" "    22.7" "    23.9" "    24.2" "    19.9" "    13.1" "     9.6" "     7.9" "    14.5" "     6.1" "    13.9" "    23.6" "    14.2"
"1914" "     7.5" "     7.9" "    12.5" "    15.3" "    19.4" "    18.4" "    21.6" "    21.4" "    15.8" "    15.5" "     9.3" "     5.9" "    14.2" "     7.8" "    15.7" "    20.5" "    13.5"
"1915" "     6.8" "     8.9" "    13.0" "    15.8" "    17.0" "    20.1" "    21.3" "    23.1" "    19.1" "    13.9" "     8.7" "     7.2" "    14.6" "     7.2" "    15.3" "    21.5" "    13.9"
"1916" "     0.7" "     7.2" "     8.7" "    13.1" "    15.1" "    19.3" "    19.6" "    21.3" "    19.6" "    13.9" "     8.0" "     4.4" "    12.6" "     5.0" "    12.3" "    20.1" "    13.8"
"1917" "     4.8" "     4.8" "     7.6" "    11.6" "    14.2" "    18.0" "    21.2" "    22.5" "    17.9" "    14.7" "    11.9" "     7.5" "    13.1" "     4.7" "    11.1" "    20.6" "    14.8"
"1918" "     7.8" "     6.5" "     9.4" "    14.4" "    16.3" "    20.9" "    20.9" "    21.3" "    22.1" "    14.5" "    10.0" "     7.0" "    14.3" "     7.3" "    13.4" "    21.0" "    15.5"
"1919" "     7.2" "     6.9" "    10.4" "    13.9" "    16.4" "    18.0" "    20.8" "    21.0" "    19.9" "    12.9" "     8.3" "     5.4" "    13.4" "     7.0" "    13.6" "    19.9" "    13.7"
"1920" "     5.9" "     8.5" "    10.2" "    11.6" "    14.9" "    19.0" "    21.8" "    22.9" "    17.3" "    12.1" "    10.7" "     7.6" "    13.5" "     6.6" "    12.2" "    21.2" "    13.4"
"1921" "     6.6" "     7.6" "    10.2" "    12.3" "    16.4" "    18.9" "    20.0" "    20.5" "    17.6" "    14.6" "     8.7" "     5.3" "    13.2" "     7.3" "    13.0" "    19.8" "    13.6"
"1922" "     4.1" "     6.3" "     9.1" "    12.0" "    17.1" "    19.9" "    21.1" "    20.8" "    19.3" "    14.8" "     9.5" "     4.4" "    13.2" "     5.2" "    12.7" "    20.6" "    14.5"
"1923" "     6.0" "     5.7" "     9.8" "    14.0" "    16.1" "    20.0" "    21.5" "    22.3" "    20.8" "    15.8" "    10.8" "     7.4" "    14.2" "     5.4" "    13.3" "    21.3" "    15.8"
"1924" "     6.6" "    10.0" "    11.1" "    12.8" "    18.3" "    19.7" "    21.8" "    19.9" "    19.8" "    14.7" "     8.6" "     5.4" "    14.1" "     8.0" "    14.1" "    20.5" "    14.4"
"1925" "     6.7" "     9.5" "    10.4" "    13.6" "    18.7" "    20.2" "    21.7" "    22.0" "    20.3" "    14.2" "     9.4" "     8.7" "    14.6" "     7.2" "    14.2" "    21.3" "    14.6"
"1926" "     7.4" "    10.6" "    14.2" "    17.1" "    17.3" "    21.0" "    23.0" "    21.4" "    19.6" "    15.5" "    11.5" "     7.4" "    15.5" "     8.9" "    16.2" "    21.8" "    15.5"
"1927" "     5.8" "     9.0" "     9.9" "    12.4" "    15.3" "    20.0" "    21.5" "    21.6" "    18.5" "    13.8" "     8.9" "     4.7" "    13.5" "     7.4" "    12.5" "    21.0" "    13.7"
"1928" "     7.1" "     8.5" "    12.1" "    13.5" "    19.0" "    18.7" "    22.3" "    20.6" "    19.0" "    12.7" "    10.3" "     6.8" "    14.2" "     6.8" "    14.9" "    20.5" "    14.0"
"1929" "     3.5" "     5.4" "    10.2" "    11.6" "    16.2" "    19.3" "    22.6" "    22.0" "    22.4" "    16.1" "     9.5" "     7.3" "    13.8" "     5.2" "    12.7" "    21.3" "    16.0"
"1930" "     2.0" "     8.4" "    11.2" "    14.8" "    15.9" "    19.2" "    21.2" "    22.1" "    19.3" "    12.9" "     8.9" "     8.3" "    13.7" "     5.9" "    14.0" "    20.8" "    13.7"
"1931" "     8.5" "     8.7" "    10.6" "    15.7" "    18.6" "    18.8" "    22.8" "    21.8" "    17.8" "    14.4" "     8.3" "     7.2" "    14.4" "     8.5" "    15.0" "    21.1" "    13.5"
"1932" "     5.1" "     6.9" "     9.8" "    13.4" "    16.4" "    21.2" "    19.1" "    20.5" "    20.5" "    15.0" "    10.4" "     5.5" "    13.7" "     6.4" "    13.2" "    20.3" "    15.3"
"1933" "     5.6" "     5.2" "     9.5" "    13.0" "    14.6" "    18.9" "    20.7" "    23.2" "    16.9" "    14.8" "     9.6" "     7.4" "    13.3" "     5.4" "    12.4" "    20.9" "    13.8"
"1934" "     8.2" "    10.7" "    13.3" "    17.0" "    17.7" "    20.4" "    21.3" "    21.7" "    18.8" "    15.3" "    10.9" "     7.7" "    15.3" "     8.8" "    16.0" "    21.1" "    15.0"
"1935" "     5.8" "     9.1" "     8.6" "    14.0" "    17.6" "    19.9" "    20.9" "    22.0" "    19.9" "    13.6" "     8.4" "     8.8" "    14.1" "     7.5" "    13.4" "    20.9" "    14.0"
"1936" "     7.6" "     2.8" "     8.3" "    14.4" "    17.6" "    20.1" "    21.7" "    22.4" "    18.2" "    16.2" "     9.8" "     7.9" "    13.9" "     6.4" "    13.4" "    21.4" "    14.7"
"1937" "     1.3" "     5.9" "    11.4" "    12.1" "    17.2" "    20.5" "    21.8" "    21.3" "    20.0" "    17.0" "    10.4" "     8.1" "    13.9" "     5.0" "    13.6" "    21.2" "    15.8"
"1938" "     6.8" "     8.2" "    10.6" "    14.6" "    16.9" "    20.5" "    22.3" "    21.2" "    20.6" "    15.0" "     8.9" "     8.1" "    14.5" "     7.7" "    14.0" "    21.3" "    14.8"
"1939" "     7.9" "     6.5" "    10.0" "    15.1" "    17.9" "    17.9" "    21.5" "    23.7" "    20.5" "    14.7" "    11.7" "     9.9" "    14.8" "     7.5" "    14.3" "    21.0" "    15.6"
"1940" "     8.2" "     9.2" "    12.6" "    15.5" "    19.5" "    21.0" "    20.9" "    23.2" "    20.3" "    15.5" "     8.4" "     8.3" "    15.2" "     9.1" "    15.9" "    21.7" "    14.7"
"1941" "     9.0" "    10.9" "    14.3" "    15.8" "    18.2" "    19.9" "    23.8" "    21.3" "    18.1" "    14.7" "    11.4" "     7.9" "    15.4" "     9.4" "    16.1" "    21.7" "    14.7"
"1942" "     7.3" "     8.4" "    10.9" "    15.2" "    18.1" "    20.3" "    23.9" "    24.3" "    20.5" "    16.5" "     9.3" "     8.2" "    15.2" "     7.9" "    14.7" "    22.8" "    15.4"
"1943" "     3.5" "     9.9" "    10.5" "    15.3" "    15.9" "    19.4" "    21.0" "    21.3" "    22.5" "    16.2" "    11.0" "     7.9" "    14.5" "     7.2" "    13.9" "    20.6" "    16.6"
"1944" "     8.0" "     8.8" "    10.5" "    14.6" "    18.4" "    19.6" "    22.2" "    21.6" "    21.6" "    17.8" "    10.7" "     7.4" "    15.1" "     8.2" "    14.5" "    21.1" "    16.7"
"1945" "     8.4" "     9.3" "     9.9" "    12.1" "    19.1" "    20.2" "    23.4" "    21.9" "    19.4" "    15.8" "     8.4" "     7.0" "    14.6" "     8.4" "    13.7" "    21.8" "    14.5"
"1946" "     7.4" "     8.2" "    10.3" "    13.2" "    19.2" "    19.2" "    21.9" "    22.5" "    20.0" "    13.6" "     8.1" "     6.1" "    14.1" "     7.5" "    14.2" "    21.2" "    13.9"
"1947" "     5.0" "    10.0" "    12.5" "    15.4" "    19.4" "    21.1" "    22.6" "    21.7" "    20.6" "    14.6" "     9.5" "     8.1" "    15.0" "     7.0" "    15.8" "    21.8" "    14.9"
"1948" "     6.8" "     6.6" "    10.1" "    12.4" "    16.8" "    21.3" "    21.7" "    20.0" "    19.4" "    14.5" "     8.8" "     5.0" "    13.6" "     7.2" "    13.1" "    21.0" "    14.2"
"1949" "     2.8" "     6.0" "    10.9" "    14.5" "    18.8" "    19.4" "    21.1" "    21.0" "    21.2" "    13.4" "    12.7" "     6.3" "    14.0" "     4.6" "    14.7" "    20.5" "    15.8"
"1950" "    -1.1" "     7.4" "     8.4" "    12.6" "    15.9" "    20.4" "    21.9" "    22.0" "    19.4" "    13.2" "     9.3" "     9.1" "    13.2" "     4.2" "    12.3" "    21.4" "    14.0"
"1951" "     5.6" "     7.5" "     7.8" "    16.1" "    17.6" "    21.6" "    22.3" "    21.4" "    20.6" "    14.6" "     9.9" "     5.3" "    14.2" "     7.4" "    13.8" "    21.8" "    15.0"
"1952" "     5.1" "     8.1" "     9.9" "    14.0" "    18.0" "    17.9" "    21.6" "    21.8" "    21.0" "    17.7" "     9.2" "     8.3" "    14.4" "     6.2" "    14.0" "    20.4" "    16.0"
"1953" "     8.6" "     8.5" "    10.5" "    13.3" "    17.5" "    17.2" "    21.6" "    22.5" "    20.4" "    15.1" "    11.2" "     8.7" "    14.6" "     8.5" "    13.8" "    20.4" "    15.6"
"1954" "     4.4" "     8.5" "     9.5" "    11.9" "    17.6" "    17.9" "    19.5" "    19.4" "    18.8" "    14.1" "    11.9" "     7.8" "    13.4" "     7.2" "    13.0" "    18.9" "    14.9"
"1955" "     6.7" "     6.4" "     6.7" "    11.5" "    14.2" "    18.1" "    18.7" "    21.4" "    19.2" "    13.7" "     6.1" "     5.2" "    12.3" "     7.0" "    10.8" "    19.4" "    13.0"
"1956" "     5.9" "     4.8" "     8.3" "    15.2" "    19.2" "    17.9" "    22.8" "    21.2" "    18.3" "    13.1" "     8.7" "     7.1" "    13.5" "     5.3" "    14.2" "    20.6" "    13.4"
"1957" "     2.5" "     6.4" "     9.9" "    13.9" "    18.2" "    19.8" "    20.2" "    20.7" "    22.2" "    14.5" "     9.7" "     8.5" "    13.9" "     5.3" "    14.0" "    20.2" "    15.5"
"1958" "     9.1" "    10.4" "    11.3" "    14.4" "    19.6" "    21.8" "    24.6" "    22.7" "    19.7" "    15.2" "     8.6" "     8.5" "    15.5" "     9.3" "    15.1" "    23.0" "    14.5"
"1959" "     6.6" "     7.0" "     9.9" "    14.3" "    16.7" "    19.8" "    23.3" "    20.6" "    17.7" "    14.2" "     9.4" "     7.6" "    13.9" "     7.4" "    13.6" "    21.2" "    13.8"
"1960" "     6.2" "     8.3" "     9.6" "    14.2" "    15.9" "    19.2" "    22.7" "    20.7" "    19.2" "    14.9" "     9.5" "     7.6" "    14.0" "     7.4" "    13.2" "    20.9" "    14.5"
"1961" "     8.9" "     8.9" "    11.0" "    12.5" "    17.0" "    20.9" "    22.3" "    23.0" "    18.8" "    13.8" "     8.7" "     6.5" "    14.4" "     8.5" "    13.5" "    22.1" "    13.8"
"1962" "     6.6" "     8.4" "     9.0" "    13.8" "    15.1" "    19.1" "    20.4" "    20.0" "    19.7" "    14.8" "    10.8" "     8.4" "    13.8" "     7.2" "    12.6" "    19.8" "    15.1"
"1963" "     4.5" "    11.0" "    10.4" "    12.9" "    18.2" "    18.9" "    20.8" "    20.8" "    20.8" "    15.4" "     9.7" "     7.8" "    14.3" "     8.0" "    13.8" "    20.2" "    15.3"
"1964" "     7.5" "     8.5" "     9.4" "    11.6" "    15.5" "    18.0" "    20.3" "    21.0" "    17.8" "    15.5" "     8.1" "     4.9" "    13.2" "     7.9" "    12.2" "    19.8" "    13.8"
"1965" "     6.0" "     7.4" "    11.4" "    13.9" "    14.8" "    19.3" "    21.8" "    20.8" "    18.6" "    15.4" "    10.3" "     7.0" "    13.9" "     6.1" "    13.4" "    20.6" "    14.8"
"1966" "     6.9" "     8.6" "    10.5" "    14.2" "    16.6" "    18.1" "    19.5" "    21.2" "    19.5" "    13.7" "    10.3" "     8.7" "    14.0" "     7.5" "    13.8" "    19.6" "    14.5"
"1967" "     7.5" "     9.2" "     9.1" "    11.9" "    16.0" "    20.1" "    21.9" "    23.7" "    21.5" "    14.0" "    10.1" "     6.9" "    14.3" "     8.5" "    12.3" "    21.9" "    15.2"
"1968" "     6.7" "    10.9" "    11.1" "    12.2" "    18.1" "    18.8" "    23.3" "    19.8" "    19.0" "    12.9" "    10.1" "     4.4" "    13.9" "     8.2" "    13.8" "    20.6" "    14.0"
"1969" "     1.6" "     7.3" "    11.8" "    12.7" "    19.4" "    21.6" "    21.4" "    20.4" "    18.4" "    14.9" "     9.6" "     8.3" "    14.0" "     4.4" "    14.6" "    21.1" "    14.3"
"1970" "     7.0" "    10.2" "    11.6" "    12.2" "    16.3" "    21.1" "    21.1" "    20.8" "    18.1" "    13.6" "     9.8" "     6.2" "    14.0" "     8.5" "    13.4" "    21.0" "    13.8"
"1971" "     6.2" "     7.7" "     8.4" "    13.3" "    16.9" "    17.0" "    21.6" "    22.5" "    18.8" "    13.6" "     9.2" "     4.9" "    13.3" "     6.7" "    12.9" "    20.4" "    13.9"
"1972" "     4.2" "     7.6" "    10.0" "    11.2" "    18.3" "    18.5" "    22.2" "    22.3" "    17.0" "    14.3" "    10.3" "     5.0" "    13.4" "     5.6" "    13.2" "    21.0" "    13.9"
"1973" "     6.1" "     8.7" "    10.5" "    13.5" "    17.4" "    18.9" "    20.7" "    19.9" "    20.0" "    13.1" "     8.0" "     7.8" "    13.7" "     6.6" "    13.8" "    19.8" "    13.7"
"1974" "     6.5" "     7.8" "     9.6" "    12.7" "    14.3" "    19.0" "    20.4" "    22.2" "    22.6" "    15.4" "     9.7" "     8.7" "    14.1" "     7.4" "    12.2" "    20.5" "    15.9"
"1975" "     5.7" "     5.9" "     9.3" "    11.6" "    16.5" "    18.8" "    22.4" "    19.7" "    21.1" "    12.9" "     9.2" "     7.4" "    13.4" "     6.8" "    12.5" "    20.3" "    14.4"
"1976" "     7.6" "     7.6" "     8.0" "    13.5" "    15.3" "    17.9" "    20.8" "    19.2" "    19.3" "    14.6" "    10.9" "     8.7" "    13.6" "     7.5" "    12.3" "    19.3" "    14.9"
"1977" "     5.9" "    10.4" "     9.6" "    14.1" "    15.2" "    19.7" "    21.0" "    23.4" "    17.2" "    13.7" "     8.4" "     6.5" "    13.8" "     8.3" "    13.0" "    21.4" "    13.1"
"1978" "     6.3" "     8.8" "    11.0" "    12.9" "    16.3" "    21.3" "    22.9" "    21.6" "    16.7" "    15.0" "     7.5" "     5.9" "    13.9" "     7.2" "    13.4" "    21.9" "    13.1"
"1979" "     4.5" "     7.0" "    12.2" "    13.2" "    17.1" "    20.2" "    22.7" "    22.1" "    19.8" "    14.9" "     9.7" "     9.2" "    14.4" "     5.8" "    14.2" "    21.7" "    14.8"
"1980" "     4.4" "     8.2" "     9.5" "    14.6" "    15.9" "    17.3" "    20.7" "    20.3" "    18.0" "    15.2" "     9.8" "     7.8" "    13.5" "     7.3" "    13.3" "    19.4" "    14.3"
"1981" "     9.3" "     8.2" "    12.0" "    12.6" "    15.7" "    17.1" "    20.8" "    23.2" "    19.1" "    13.3" "    10.5" "     6.9" "    14.1" "     8.4" "    13.4" "    20.4" "    14.3"
"1982" "     5.7" "     7.8" "     9.9" "    11.9" "    16.3" "    21.1" "    21.0" "    21.3" "    19.9" "    14.3" "     8.1" "     7.4" "    13.7" "     6.8" "    12.7" "    21.1" "    14.1"
"1983" "     9.1" "     9.8" "    12.2" "    14.1" "    18.0" "    19.0" "    21.1" "    22.6" "    18.3" "    13.3" "    10.6" "     4.2" "    14.4" "     8.8" "    14.8" "    20.9" "    14.1"
"1984" "     8.3" "     9.4" "    11.7" "    12.9" "    14.7" "    18.1" "    22.5" "    21.8" "    18.1" "    12.1" "     9.0" "     4.3" "    13.6" "     7.3" "    13.1" "    20.8" "    13.1"
"1985" "     5.7" "     7.5" "     9.6" "    12.9" "    16.5" "    19.6" "    24.3" "    22.7" "    18.8" "    14.1" "     4.1" "     5.4" "    13.4" "     5.8" "    13.0" "    22.2" "    12.3"
"1986" "     9.2" "     7.7" "    11.4" "    11.5" "    15.8" "    19.9" "    20.2" "    24.2" "    18.9" "    15.3" "     9.5" "     7.3" "    14.2" "     7.4" "    12.9" "    21.4" "    14.6"
"1987" "     7.3" "     9.8" "    11.2" "    14.3" "    17.3" "    20.5" "    21.5" "    22.7" "    20.9" "    17.0" "    10.7" "     6.5" "    15.0" "     8.1" "    14.3" "    21.6" "    16.2"
"1988" "     7.0" "     9.2" "    10.3" "    13.6" "    16.3" "    19.1" "    22.5" "    21.5" "    18.7" "    14.2" "     9.9" "     7.6" "    14.2" "     7.6" "    13.4" "    21.0" "    14.3"
"1989" "     6.7" "     4.1" "     8.5" "    15.8" "    17.0" "    21.0" "    21.5" "    20.9" "    21.4" "    14.1" "    10.4" "     8.0" "    14.1" "     6.1" "    13.8" "    21.1" "    15.3"
"1990" "     7.8" "     7.1" "    11.1" "    14.4" "    16.2" "    18.8" "    24.0" "    23.1" "    20.2" "    13.0" "    10.3" "     4.6" "    14.2" "     7.6" "    13.9" "    22.0" "    14.5"
"1991" "     5.5" "    11.0" "     9.4" "    13.1" "    15.8" "    18.3" "    21.9" "    21.4" "    20.3" "    14.2" "    10.3" "     8.7" "    14.2" "     7.0" "    12.8" "    20.5" "    14.9"
"1992" "     8.7" "    10.2" "    13.7" "    14.8" "    19.0" "    21.9" "    21.9" "    22.1" "    18.7" "    14.7" "     9.8" "     6.0" "    15.1" "     9.2" "    15.8" "    22.0" "    14.4"
"1993" "     5.0" "     7.8" "    11.6" "    13.3" "    18.8" "    19.5" "    20.0" "    22.0" "    20.2" "    15.7" "     9.0" "     7.9" "    14.2" "     6.3" "    14.6" "    20.5" "    15.0"
"1994" "     9.9" "     7.2" "    12.3" "    14.4" "    18.3" "    19.2" "    23.4" "    22.9" "    20.4" "    14.0" "     9.0" "     7.4" "    14.9" "     8.3" "    15.0" "    21.8" "    14.5"
"1995" "     8.3" "    10.0" "    11.1" "    14.0" "    19.5" "    21.4" "    23.0" "    20.3" "    21.2" "    13.8" "    11.8" "     7.6" "    15.2" "     8.6" "    14.9" "    21.6" "    15.6"
"1996" "     6.1" "     8.8" "    10.8" "    13.2" "    15.3" "    19.5" "    23.5" "    22.9" "    17.8" "    13.4" "     8.1" "     5.1" "    13.7" "     7.5" "    13.1" "    22.0" "    13.1"
"1997" "     6.9" "     9.2" "     9.5" "    13.2" "    18.2" "    18.9" "    21.9" "    23.3" "    20.1" "    13.5" "    11.4" "     8.8" "    14.6" "     7.1" "    13.6" "    21.4" "    15.0"
"1998" "     7.2" "     9.9" "    11.2" "    14.5" "    17.3" "    20.1" "    22.1" "    23.7" "    20.6" "    14.5" "    10.6" "     7.4" "    14.9" "     8.6" "    14.3" "    22.0" "    15.2"
"1999" "     8.1" "     8.5" "     9.7" "    13.8" "    15.4" "    18.4" "    21.4" "    22.2" "    20.2" "    14.6" "    10.3" "     8.0" "    14.2" "     8.0" "    13.0" "    20.7" "    15.0"
"2000" "     6.8" "     8.7" "    10.4" "    14.1" "    15.8" "    20.0" "    21.9" "    21.2" "    19.3" "    14.5" "     9.3" "     7.1" "    14.1" "     7.8" "    13.4" "    21.0" "    14.4"
"2001" "     8.3" "     8.3" "    11.2" "    13.2" "    16.6" "    18.9" "    21.8" "    21.7" "    19.2" "    14.4" "    10.7" "     7.3" "    14.3" "     7.9" "    13.7" "    20.8" "    14.8"
"2002" "     7.9" "     8.6" "     8.6" "    13.2" "    15.9" "    21.0" "    22.8" "    22.7" "    20.5" "    14.0" "    11.7" "     8.3" "    14.6" "     7.9" "    12.6" "    22.2" "    15.4"
"2003" "    10.1" "     9.3" "    11.2" "    13.0" "    16.6" "    22.4" "    23.9" "    23.6" "    20.9" "    15.0" "     9.0" "     7.8" "    15.2" "     9.2" "    13.6" "    23.3" "    15.0"
"2004" "     6.8" "     9.7" "    12.6" "    16.7" "    18.3" "    22.3" "    24.6" "    23.3" "    18.3" "    14.5" "     9.8" "     8.7" "    15.5" "     8.1" "    15.9" "    23.4" "    14.2"
"2005" "     6.9" "    10.0" "    12.4" "    14.6" "    18.8" "    19.9" "    23.0" "    23.2" "    19.2" "    14.2" "     8.4" "     8.1" "    14.9" "     8.5" "    15.3" "    22.0" "    13.9"
"2006" "     9.4" "     8.4" "    10.7" "    13.7" "    17.9" "    21.1" "    23.6" "    22.3" "    20.3" "    14.8" "     8.8" "     7.2" "    14.9" "     8.6" "    14.1" "    22.3" "    14.6"
"2007" "     6.9" "     9.0" "    10.8" "    13.1" "    17.3" "    19.0" "    23.3" "    22.1" "    18.3" "    13.2" "     9.4" "     6.9" "    14.1" "     7.7" "    13.7" "    21.5" "    13.6"
"2008" "     6.6" "     9.3" "     9.4" "    11.2" "    16.8" "    19.0" "    21.8" "    22.2" "    19.8" "    13.1" "    11.3" "     4.6" "    13.8" "     7.6" "    12.5" "    21.0" "    14.7"
"2009" "     6.5" "     8.0" "     8.8" "    13.5" "    17.1" "    22.0" "    24.7" "    22.0" "    20.0" "    14.3" "     9.9" "     5.5" "    14.4" "     6.4" "    13.1" "    22.9" "    14.7"
"2010" "     9.6" "    10.6" "    11.5" "    13.5" "    15.8" "    18.9" "    22.6" "    22.8" "    18.8" "    14.6" "     8.5" "     7.9" "    14.6" "     8.6" "    13.6" "    21.4" "    14.0"
"2011" "     7.5" "     6.7" "    10.4" "    11.2" "    15.1" "    19.3" "    21.4" "    22.4" "    20.7" "    13.9" "     8.9" "     7.2" "    13.7" "     7.4" "    12.2" "    21.0" "    14.5"
"2012" "     6.7" "     8.2" "     9.2" "    13.4" "    16.8" "    18.0" "    21.9" "    23.5" "    21.1" "    14.2" "    10.0" "     6.9" "    14.2" "     7.4" "    13.1" "    21.1" "    15.1"
"2013" "     6.2" "     8.6" "    11.2" "    13.3" "    17.2" "    20.6" "    22.8" "    22.0" "    19.0" "    13.1" "     9.7" "     5.8" "    14.1" "     7.2" "    13.9" "    21.8" "    13.9"
"2014" "     7.9" "     6.1" "    10.1" "    14.0" "    18.2" "    20.1" "    23.5" "    23.1" "    20.9" "    15.8" "    10.2" "     8.5" "    14.9" "     6.6" "    14.1" "    22.2" "    15.6"
"2015" "     8.7" "    11.1" "    12.4" "    13.8" "    19.1" "    23.6" "    24.7" "    23.3" "    18.0" "    15.8" "     9.2" "     7.8" "    15.6" "     9.4" "    15.1" "    23.9" "    14.3"
"2016" "     7.5" "    10.3" "    11.8" "    16.2" "    19.7" "    20.7" "    22.2" "    23.7" "    18.9" "    13.9" "    11.5" "     5.0" "    15.1" "     8.5" "    15.9" "    22.2" "    14.8"
"2017" "     5.8" "     6.9" "     9.6" "    12.8" "    17.0" "    20.4" "    22.7" "    23.7" "    20.9" "    15.3" "     9.6" "     6.6" "    14.3" "     5.9" "    13.1" "    22.3" "    15.3"
